pair,window,feature_set,method,n_test,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,fault_detection_recall,fault_recall_ci_lo,fault_recall_ci_hi,false_event_rate,event_level_recall,event_recall_ci_lo,event_recall_ci_hi,n_true_instances_test,gradual_shift_recall,n_gradual_shift_instances,gradual_shift_median_latency_s,gradual_shift_n_missed
humidity,10,a_single_only,decision_tree,69715,0.653571985753637,0.6293422134277121,0.6803123078126245,0.6122865328548812,0.5949681115395968,0.631656821592715,0.23150105708245244,0.18615917889403216,0.30498300626207603,0.009165221699281644,0.5170940170940171,0.4444444444444444,0.5811965811965812,234,0.21052631578947367,57,555.0025355,45
humidity,10,a_single_only,random_forest,69715,0.6356764536557401,0.6111149752800286,0.6621930322705253,0.6023008873701388,0.5842400058655778,0.6223806374646763,0.22010805731735963,0.1736519930821901,0.29058458550780786,0.0242754520683676,0.43162393162393164,0.36324786324786323,0.49583333333333324,234,0.12280701754385964,57,540.001472,50
humidity,10,b_single_plus_cross,logistic_regression,69715,0.5275066778296057,0.49977316528228083,0.5548277145668262,0.5303195733347164,0.5151415530614439,0.5460622668614628,0.06436457599248296,0.03624780603158312,0.11170611831776037,0.0049541738915035915,0.13247863247863248,0.09401709401709402,0.1794871794871795,234,0.03508771929824561,57,825.0051605,55
humidity,10,b_single_plus_cross,decision_tree,69715,0.6377611024044074,0.6109621064246207,0.6658334281793253,0.6057553065218999,0.5855807876576116,0.6272169887371642,0.23185341789992953,0.18443245068492387,0.30641430657813035,0.028238791181570473,0.5341880341880342,0.4658119658119658,0.594017094017094,234,0.2631578947368421,57,510.001404,42
humidity,10,b_single_plus_cross,random_forest,69715,0.6455592643630419,0.6199982473279683,0.6758258093141478,0.6081248242518787,0.5897737999909102,0.631937142895496,0.22750763448437866,0.18052214842144015,0.30613694648629647,0.021302947733465444,0.44871794871794873,0.38461538461538464,0.5128205128205128,234,0.14035087719298245,57,375.0010365,49
humidity,10,c_plus_ah,logistic_regression,69715,0.5276021115407367,0.49833652561313163,0.5569003070039342,0.5302552742936943,0.5140770125674506,0.5480225749698073,0.06506929762743716,0.038867211450139966,0.11331771383064926,0.00594500866980431,0.13247863247863248,0.09401709401709402,0.1752136752136752,234,0.03508771929824561,57,840.005213,55
humidity,10,c_plus_ah,decision_tree,69715,0.6398766163233869,0.6113471585522735,0.6723820010656232,0.6095243138751699,0.589391854957802,0.6338368539239029,0.244538407329105,0.19584608672305007,0.3234084524971733,0.031706712905622984,0.5299145299145299,0.4699786324786325,0.5898504273504273,234,0.21052631578947367,57,585.001604,45
humidity,10,c_plus_ah,random_forest,69715,0.6542678986958836,0.6250732160513316,0.691000905873955,0.612893216876071,0.5925326545560019,0.6415052285272359,0.23291050035236083,0.18813007799591924,0.3114678681490157,0.015357939063661135,0.4188034188034188,0.3547008547008547,0.47863247863247865,234,0.10526315789473684,57,405.00111649999997,51
humidity,10,d_cross_only,logistic_regression,69715,0.5292015275007831,0.5006082218063408,0.5564750642216162,0.5317727385707351,0.5169068210961929,0.5470433449990131,0.06365985435752877,0.0369814793607367,0.11438312717732599,0.0009908347783007183,0.1111111111111111,0.07264957264957266,0.15384615384615385,234,0.017543859649122806,57,0.0,56
humidity,10,d_cross_only,decision_tree,69715,0.6255414114167033,0.5993398203087327,0.6522125059696535,0.5942889522291249,0.5761165557488765,0.6138789307327877,0.20284237726098192,0.1603090572137927,0.27035501719056587,0.019321278176864007,0.5470085470085471,0.4829059829059829,0.6153846153846154,234,0.38596491228070173,57,615.0017115,35
humidity,10,d_cross_only,random_forest,69715,0.6322962755147511,0.6075440300910536,0.6631334504735655,0.5980927277765413,0.5813407419875084,0.6206257356845001,0.20695325346488136,0.16490221695648996,0.27719673776080006,0.014119395590785237,0.45726495726495725,0.39316239316239315,0.5172008547008546,234,0.24561403508771928,57,720.003831,43
humidity,20,n/a,baseline_single_channel_rule,68521,0.47881577243342005,0.4713721823911001,0.48585083533126283,0.49825737866995456,0.4945943715845185,0.5016984674482137,0.020236686390532544,0.013872031061637707,0.026705331026028963,0.049603681922781896,0.452991452991453,0.39316239316239315,0.5129273504273503,234,0.3684210526315789,57,690.003536,36
humidity,20,n/a,baseline_one_out_of_two_comparator,68521,0.48269288433522367,0.46252007973310283,0.5080384507663948,0.49602478191733473,0.4767639318476194,0.513255673909342,0.03301775147928994,0.009606157355411253,0.06562940689608453,0.08182050626438252,0.10256410256410256,0.0641025641025641,0.1452991452991453,234,0.017543859649122806,57,1650.010321,56
humidity,20,a_single_only,logistic_regression,68521,0.4670265274510943,0.46114462046143884,0.47338316651440837,0.49903810471218524,0.49812179318157357,0.4997676730349174,0.00047337278106508875,0.0,0.001432260758872383,0.003068268984914344,0.01282051282051282,0.0,0.029914529914529916,234,0.017543859649122806,57,1680.010426,56
humidity,20,a_single_only,decision_tree,68521,0.6205135057777005,0.5949481914666214,0.6470965286900052,0.5885197585224349,0.5721716237390514,0.6059728184071498,0.1834319526627219,0.14358887556467875,0.24371086862537905,0.010227563283047815,0.5128205128205128,0.4528846153846154,0.5769230769230769,234,0.21052631578947367,57,690.0028965,45
